Family,Accum_btw,Treatment
Streptococcaceae,0,Ctrl
Streptomycetaceae,103.5,Ctrl
Streptosporangiaceae,0,Ctrl
Tepidisphaeraceae,0,Ctrl
Thermoactinomycetaceae,0,Ctrl
Thermoanaerobaculaceae,30,Ctrl
Thermomicrobiaceae,0,Ctrl
Thermomonosporaceae,0,Ctrl
TRA3-20,56,Ctrl
UBA12411,0,Ctrl
uncultivated soil bacterium clone S111,6,Ctrl
uncultured,913.75,Ctrl
uncultured Acetobacteraceae bacterium,0,Ctrl
uncultured Acidimicrobiales bacterium,0,Ctrl
uncultured Acidobacteria bacterium,0,Ctrl
uncultured Acidobacteriaceae bacterium,0,Ctrl
uncultured Acidobacteriales bacterium,0,Ctrl
uncultured bacterium,0,Ctrl
uncultured bacterium #0319-6E22,5,Ctrl
uncultured bacterium gp7,0,Ctrl
uncultured bacterium KF-JG30-B11,0,Ctrl
uncultured bacterium PHOS-HC15,0,Ctrl
uncultured bacterium SJA-22,0,Ctrl
uncultured Caldilineaceae bacterium,35,Ctrl
uncultured candidate division OS-K bacterium,26,Ctrl
uncultured candidate division SAM bacterium,26,Ctrl
uncultured Clostridia bacterium,0,Ctrl
uncultured delta proteobacterium,6,Ctrl
uncultured Desulfoglaeba sp.,0,Ctrl
uncultured Desulfovirga sp.,1,Ctrl
uncultured Desulfuromonadales bacterium,8.5,Ctrl
uncultured Epsilonproteobacteria bacterium,5,Ctrl
uncultured eubacterium WCHB1-58,60,Ctrl
uncultured Ferrimicrobium sp.,6,Ctrl
uncultured Gemmatimonadetes bacterium,487.6666667,Ctrl
uncultured Green Bay ferromanganous micronodule bacterium MND8,0,Ctrl
uncultured Holophaga sp.,0,Ctrl
uncultured organism,14,Ctrl
uncultured Planctomycetales bacterium,0,Ctrl
uncultured planctomycete,0,Ctrl
uncultured prokaryote,2,Ctrl
uncultured proteobacterium,0,Ctrl
uncultured soil bacterium,194,Ctrl
uncultured Solibacterales bacterium,22,Ctrl
uncultured Xanthomonadales bacterium,0,Ctrl
Unknown Family,198.3333333,Ctrl
Vermiphilaceae,0,Ctrl
Verrucomicrobiaceae,0,Ctrl
Vibrionaceae,0,Ctrl
Vulgatibacteraceae,25,Ctrl
WD2101 soil group,2125.133333,Ctrl
Weeksellaceae,0,Ctrl
Xanthobacteraceae,834.3333333,Ctrl
Xanthomonadaceae,142,Ctrl
NA,5975.7,Ctrl
0319-6G20,41.16666667,Cd
37-13,0,Cd
67-14,0,Cd
A21b,9,Cd
A4b,231.5,Cd
Acetobacteraceae,6,Cd
Acidobacteria bacterium Ellin7246,79,Cd
Acidobacteriaceae (Subgroup 1),29,Cd
Acidothermaceae,140,Cd
Aerococcaceae,0,Cd
AKYG1722,0,Cd
AKYH767,222.3333333,Cd
Alicyclobacillaceae,178.5,Cd
Alteromonadaceae,0,Cd
Ambiguous_taxa,0,Cd
Anaerolineaceae,4,Cd
Archangiaceae,15.5,Cd
Azospirillaceae,2,Cd
Bacillaceae,489,Cd
bacteriap25,1,Cd
bacterium enrichment culture clone Anammox_49,0,Cd
bacterium enrichment culture clone auto222_4W,0,Cd
bacterium WWH38,0,Cd
Bdellovibrionaceae,0,Cd
Beijerinckiaceae,17,Cd
BIrii41,0,Cd
Blastocatellaceae,289,Cd
Burkholderiaceae,949,Cd
Caldilineaceae,105.3333333,Cd
Candidatus Doudnabacteria bacterium RIFCSPHIGHO2_01_48_18,0,Cd
Candidatus Nomurabacteria bacterium GW2011_GWB1_35_20,0,Cd
Candidatus Saccharibacteria bacterium RIFCSPHIGHO2_12_FULL_48_21,0,Cd
Catenulisporaceae,0,Cd
Caulobacteraceae,22.83333333,Cd
Chitinophagaceae,2155.366667,Cd
Chloroflexaceae,18,Cd
Chthoniobacteraceae,777.9666666,Cd
Chthonomonadaceae,10.33333333,Cd
Clostridiaceae 1,3,Cd
Coleofasciculaceae,0,Cd
Corynebacteriaceae,0,Cd
CPla-3 termite group,14,Cd
cvE6,0,Cd
Cytophagaceae,100,Cd
Desulfarculaceae,0,Cd
Devosiaceae,1,Cd
Diplorickettsiaceae,15,Cd
Dongiaceae,73,Cd
Enterobacteriaceae,1,Cd
Entotheonellaceae,0,Cd
env.OPS 17,0,Cd
Family XVIII,0,Cd
Fimbriimonadaceae,4,Cd
Frankiaceae,0,Cd
Gaiellaceae,167.5,Cd
Gemmataceae,225.5,Cd
Gemmatimonadaceae,1474.7,Cd
Geodermatophilaceae,0,Cd
Gracilibacteraceae,1,Cd
groundwater metagenome,0,Cd
Haliangiaceae,31.58333333,Cd
Hymenobacteraceae,0,Cd
Hyphomicrobiaceae,9,Cd
Hyphomonadaceae,35,Cd
Iamiaceae,0,Cd
Ilumatobacteraceae,0,Cd
Inquilinaceae,0,Cd
Intrasporangiaceae,16,Cd
Isosphaeraceae,0,Cd
JG30-KF-AS9,258,Cd
JG30-KF-CM45,2,Cd
KF-JG30-B3,12,Cd
Kineosporiaceae,0,Cd
Ktedonobacteraceae,34,Cd
Lachnospiraceae,0,Cd
Latescibacteraceae,0,Cd
Leptolyngbyaceae,0,Cd
Longimicrobiaceae,0,Cd
metagenome,90,Cd
metal-contaminated soil clone K20-27,0,Cd
Methylacidiphilaceae,0,Cd
Methyloligellaceae,40,Cd
Microbacteriaceae,0,Cd
Micrococcaceae,0,Cd
Micromonosporaceae,211.25,Cd
Micropepsaceae,407.3333333,Cd
Microscillaceae,25,Cd
Mitochondria,0,Cd
mle1-27,0,Cd
Moraxellaceae,0,Cd
Mycobacteriaceae,21,Cd
Nannocystaceae,57,Cd
Nitrosomonadaceae,45.16666667,Cd
Nitrospiraceae,33,Cd
Nocardiaceae,0,Cd
Nocardioidaceae,37,Cd
Nostocaceae,12,Cd
Nostocales Incertae Sedis,0,Cd
NS11-12 marine group,0,Cd
NS9 marine group,0,Cd
Opitutaceae,11.83333333,Cd
P3OB-42,0,Cd
Paenibacillaceae,111.5,Cd
Parachlamydiaceae,2,Cd
Pedosphaeraceae,390.25,Cd
Peptostreptococcaceae,0,Cd
Phaselicystidaceae,0,Cd
Phycisphaeraceae,71.16666667,Cd
Pirellulaceae,244.3333333,Cd
Planococcaceae,221.5,Cd
Polyangiaceae,33.75,Cd
Propionibacteriaceae,0,Cd
Pseudomonadaceae,10.33333333,Cd
Pseudonocardiaceae,0,Cd
Pyrinomonadaceae,307,Cd
Reyranellaceae,14,Cd
Rhizobiaceae,32.33333333,Cd
Rhizobiales Incertae Sedis,8.5,Cd
Rhodanobacteraceae,62,Cd
Rhodocyclaceae,0,Cd
Rhodomicrobiaceae,0,Cd
Rhodospirillaceae,25,Cd
Roseiflexaceae,221,Cd
Rubinisphaeraceae,43,Cd
Saccharum hybrid cultivar,0,Cd
Sandaracinaceae,1,Cd
Saprospiraceae,724.9333333,Cd
SC-I-84,728.1666666,Cd
Schlesneriaceae,0,Cd
Simkaniaceae,0,Cd
Solibacteraceae (Subgroup 3),273,Cd
Solimonadaceae,2,Cd
Solirubrobacteraceae,0,Cd
Sphingobacteriaceae,0,Cd
Sphingomonadaceae,570.3333333,Cd
Spirosomaceae,0,Cd
Sporichthyaceae,0.333333333,Cd
Steroidobacteraceae,29,Cd
Streptococcaceae,0,Cd
Streptomycetaceae,79,Cd
Streptosporangiaceae,82.66666667,Cd
Tepidisphaeraceae,6,Cd
Thermoactinomycetaceae,0,Cd
Thermoanaerobaculaceae,61,Cd
Thermomicrobiaceae,0,Cd
Thermomonosporaceae,0,Cd
TRA3-20,12,Cd
UBA12411,0,Cd
uncultivated soil bacterium clone S111,679.2333333,Cd
uncultured,970.5,Cd
uncultured Acetobacteraceae bacterium,0,Cd
uncultured Acidimicrobiales bacterium,0,Cd
uncultured Acidobacteria bacterium,0,Cd
uncultured Acidobacteriaceae bacterium,1.5,Cd
uncultured Acidobacteriales bacterium,0,Cd
uncultured bacterium,38,Cd
uncultured bacterium #0319-6E22,107,Cd
uncultured bacterium gp7,11,Cd
uncultured bacterium KF-JG30-B11,1.5,Cd
uncultured bacterium PHOS-HC15,0,Cd
uncultured bacterium SJA-22,0,Cd
uncultured Caldilineaceae bacterium,2.5,Cd
uncultured candidate division OS-K bacterium,0,Cd
uncultured candidate division SAM bacterium,247,Cd
uncultured Clostridia bacterium,0,Cd
uncultured delta proteobacterium,0,Cd
uncultured Desulfoglaeba sp.,0,Cd
uncultured Desulfovirga sp.,0,Cd
uncultured Desulfuromonadales bacterium,9,Cd
uncultured Epsilonproteobacteria bacterium,0,Cd
uncultured eubacterium WCHB1-58,0,Cd
uncultured Ferrimicrobium sp.,0.5,Cd
uncultured Gemmatimonadetes bacterium,256.1666666,Cd
uncultured Green Bay ferromanganous micronodule bacterium MND8,0,Cd
uncultured Holophaga sp.,0,Cd
uncultured organism,28,Cd
uncultured Planctomycetales bacterium,0,Cd
uncultured planctomycete,4.5,Cd
uncultured prokaryote,0.333333333,Cd
uncultured proteobacterium,0,Cd
uncultured soil bacterium,14,Cd
uncultured Solibacterales bacterium,0,Cd
uncultured Xanthomonadales bacterium,0,Cd
Unknown Family,28,Cd
Vermiphilaceae,0,Cd
Verrucomicrobiaceae,0,Cd
Vibrionaceae,0,Cd
Vulgatibacteraceae,0.5,Cd
WD2101 soil group,3392.1,Cd
Weeksellaceae,3,Cd
Xanthobacteraceae,439.5,Cd
Xanthomonadaceae,25,Cd
NA,4082.366667,Cd
0319-6G20,0,M
37-13,0,M
67-14,0,M
A21b,0,M
A4b,13.83645423,M
Acetobacteraceae,0,M
Acidobacteria bacterium Ellin7246,0,M
Acidobacteriaceae (Subgroup 1),0,M
Acidothermaceae,0,M
Aerococcaceae,20.09319692,M
AKYG1722,0,M
AKYH767,0,M
Alicyclobacillaceae,0,M
Alteromonadaceae,0,M
Ambiguous_taxa,0,M
Anaerolineaceae,0,M
Archangiaceae,0,M
Azospirillaceae,0,M
Bacillaceae,102.4792466,M
bacteriap25,0,M
bacterium enrichment culture clone Anammox_49,0,M
bacterium enrichment culture clone auto222_4W,0,M
bacterium WWH38,0,M
Bdellovibrionaceae,0,M
Beijerinckiaceae,0,M
BIrii41,0,M
Blastocatellaceae,0,M
Burkholderiaceae,0,M
Caldilineaceae,0,M
Candidatus Doudnabacteria bacterium RIFCSPHIGHO2_01_48_18,0,M
Candidatus Nomurabacteria bacterium GW2011_GWB1_35_20,0,M
Candidatus Saccharibacteria bacterium RIFCSPHIGHO2_12_FULL_48_21,0,M
Catenulisporaceae,0,M
Caulobacteraceae,10.31619382,M
Chitinophagaceae,0,M
Chloroflexaceae,0,M
Chthoniobacteraceae,0,M
Chthonomonadaceae,0,M
Clostridiaceae 1,0,M
Coleofasciculaceae,0,M
Corynebacteriaceae,17.63246166,M
CPla-3 termite group,0,M
cvE6,0,M
Cytophagaceae,0,M
Desulfarculaceae,0,M
Devosiaceae,15.06082937,M
Diplorickettsiaceae,0,M
Dongiaceae,15.67225575,M
Enterobacteriaceae,15.76122761,M
Entotheonellaceae,0,M
env.OPS 17,0,M
Family XVIII,0,M
Fimbriimonadaceae,0,M
Frankiaceae,0,M
Gaiellaceae,0,M
Gemmataceae,0,M
Gemmatimonadaceae,0,M
Geodermatophilaceae,0,M
Gracilibacteraceae,0,M
groundwater metagenome,0,M
Haliangiaceae,0,M
Hymenobacteraceae,0,M
Hyphomicrobiaceae,0,M
Hyphomonadaceae,0,M
Iamiaceae,0,M
Ilumatobacteraceae,0,M
Inquilinaceae,0,M
Intrasporangiaceae,0,M
Isosphaeraceae,0,M
JG30-KF-AS9,0,M
JG30-KF-CM45,0,M
KF-JG30-B3,0,M
Kineosporiaceae,0,M
Ktedonobacteraceae,0,M
Lachnospiraceae,0,M
Latescibacteraceae,0,M
Leptolyngbyaceae,0,M
Longimicrobiaceae,0,M
metagenome,0,M
metal-contaminated soil clone K20-27,0,M
Methylacidiphilaceae,0,M
Methyloligellaceae,0,M
Microbacteriaceae,0,M
Micrococcaceae,0,M
Micromonosporaceae,0,M
Micropepsaceae,5.97240676,M
Microscillaceae,0,M
Mitochondria,0,M
mle1-27,0,M
Moraxellaceae,79.19876017,M
Mycobacteriaceae,0,M
Nannocystaceae,0,M
Nitrosomonadaceae,19.53814041,M
Nitrospiraceae,0,M
Nocardiaceae,47.64418409,M
Nocardioidaceae,0,M
Nostocaceae,0,M
Nostocales Incertae Sedis,0,M
NS11-12 marine group,0,M
NS9 marine group,0,M
Opitutaceae,0,M
P3OB-42,0,M
Paenibacillaceae,0,M
Parachlamydiaceae,0,M
Pedosphaeraceae,0,M
Peptostreptococcaceae,0,M
Phaselicystidaceae,0,M
Phycisphaeraceae,0,M
Pirellulaceae,0,M
Planococcaceae,0,M
Polyangiaceae,0,M
Propionibacteriaceae,22.8273839,M
Pseudomonadaceae,27.20855856,M
Pseudonocardiaceae,33.55357151,M
Pyrinomonadaceae,16.73077776,M
Reyranellaceae,0,M
Rhizobiaceae,93.40600768,M
Rhizobiales Incertae Sedis,0,M
Rhodanobacteraceae,39.42396518,M
Rhodocyclaceae,0,M
Rhodomicrobiaceae,0,M
Rhodospirillaceae,0,M
Roseiflexaceae,0,M
Rubinisphaeraceae,0,M
Saccharum hybrid cultivar,0,M
Sandaracinaceae,0,M
Saprospiraceae,0,M
SC-I-84,0,M
Schlesneriaceae,0,M
Simkaniaceae,0,M
Solibacteraceae (Subgroup 3),0,M
Solimonadaceae,0,M
Solirubrobacteraceae,0,M
Sphingobacteriaceae,0,M
Sphingomonadaceae,71.18736271,M
Spirosomaceae,0,M
Sporichthyaceae,0,M
Steroidobacteraceae,0,M
Streptococcaceae,11.78236288,M
Streptomycetaceae,60.94532331,M
Streptosporangiaceae,0,M
Tepidisphaeraceae,0,M
Thermoactinomycetaceae,14.20131288,M
Thermoanaerobaculaceae,0,M
Thermomicrobiaceae,0,M
Thermomonosporaceae,0,M
TRA3-20,0,M
UBA12411,0,M
uncultivated soil bacterium clone S111,0,M
uncultured,0,M
uncultured Acetobacteraceae bacterium,0,M
uncultured Acidimicrobiales bacterium,0,M
uncultured Acidobacteria bacterium,0,M
uncultured Acidobacteriaceae bacterium,0,M
uncultured Acidobacteriales bacterium,0,M
uncultured bacterium,0,M
uncultured bacterium #0319-6E22,0,M
uncultured bacterium gp7,0,M
uncultured bacterium KF-JG30-B11,0,M
uncultured bacterium PHOS-HC15,0,M
uncultured bacterium SJA-22,0,M
uncultured Caldilineaceae bacterium,0,M
uncultured candidate division OS-K bacterium,0,M
uncultured candidate division SAM bacterium,0,M
uncultured Clostridia bacterium,0,M
uncultured delta proteobacterium,0,M
uncultured Desulfoglaeba sp.,0,M
uncultured Desulfovirga sp.,0,M
uncultured Desulfuromonadales bacterium,0,M
uncultured Epsilonproteobacteria bacterium,0,M
uncultured eubacterium WCHB1-58,0,M
uncultured Ferrimicrobium sp.,0,M
uncultured Gemmatimonadetes bacterium,22.73147231,M
uncultured Green Bay ferromanganous micronodule bacterium MND8,0,M
uncultured Holophaga sp.,0,M
uncultured organism,0,M
uncultured Planctomycetales bacterium,0,M
uncultured planctomycete,0,M
uncultured prokaryote,0,M
uncultured proteobacterium,0,M
uncultured soil bacterium,0,M
uncultured Solibacterales bacterium,0,M
uncultured Xanthomonadales bacterium,0,M
Unknown Family,66.00575997,M
Vermiphilaceae,0,M
Verrucomicrobiaceae,0,M
Vibrionaceae,50.04014128,M
Vulgatibacteraceae,0,M
WD2101 soil group,12.82139753,M
Weeksellaceae,0,M
Xanthobacteraceae,78.15601973,M
Xanthomonadaceae,38.91789714,M
NA,96.8553283,M
0319-6G20,0,M+Cd
37-13,0,M+Cd
67-14,0,M+Cd
A21b,0,M+Cd
A4b,0,M+Cd
Acetobacteraceae,0,M+Cd
Acidobacteria bacterium Ellin7246,0,M+Cd
Acidobacteriaceae (Subgroup 1),0,M+Cd
Acidothermaceae,0,M+Cd
Aerococcaceae,275,M+Cd
AKYG1722,0,M+Cd
AKYH767,0,M+Cd
Alicyclobacillaceae,0,M+Cd
Alteromonadaceae,4,M+Cd
Ambiguous_taxa,0,M+Cd
Anaerolineaceae,0,M+Cd
Archangiaceae,0,M+Cd
Azospirillaceae,0,M+Cd
Bacillaceae,1847.141881,M+Cd
bacteriap25,0,M+Cd
bacterium enrichment culture clone Anammox_49,0,M+Cd
bacterium enrichment culture clone auto222_4W,0,M+Cd
bacterium WWH38,0,M+Cd
Bdellovibrionaceae,0,M+Cd
Beijerinckiaceae,0,M+Cd
BIrii41,175.2919744,M+Cd
Blastocatellaceae,768.8721112,M+Cd
Burkholderiaceae,1634.980595,M+Cd
Caldilineaceae,0,M+Cd
Candidatus Doudnabacteria bacterium RIFCSPHIGHO2_01_48_18,0,M+Cd
Candidatus Nomurabacteria bacterium GW2011_GWB1_35_20,0,M+Cd
Candidatus Saccharibacteria bacterium RIFCSPHIGHO2_12_FULL_48_21,0,M+Cd
Catenulisporaceae,0,M+Cd
Caulobacteraceae,0,M+Cd
Chitinophagaceae,1644,M+Cd
Chloroflexaceae,0,M+Cd
Chthoniobacteraceae,0,M+Cd
Chthonomonadaceae,0,M+Cd
Clostridiaceae 1,0,M+Cd
Coleofasciculaceae,0,M+Cd
Corynebacteriaceae,0,M+Cd
CPla-3 termite group,0,M+Cd
cvE6,0,M+Cd
Cytophagaceae,0,M+Cd
Desulfarculaceae,0,M+Cd
Devosiaceae,243.0654401,M+Cd
Diplorickettsiaceae,0,M+Cd
Dongiaceae,559.8333333,M+Cd
Enterobacteriaceae,2208.962621,M+Cd
Entotheonellaceae,0,M+Cd
env.OPS 17,0,M+Cd
Family XVIII,0,M+Cd
Fimbriimonadaceae,0,M+Cd
Frankiaceae,0,M+Cd
Gaiellaceae,0,M+Cd
Gemmataceae,0,M+Cd
Gemmatimonadaceae,413,M+Cd
Geodermatophilaceae,0,M+Cd
Gracilibacteraceae,0,M+Cd
groundwater metagenome,0,M+Cd
Haliangiaceae,0,M+Cd
Hymenobacteraceae,0,M+Cd
Hyphomicrobiaceae,660.7130231,M+Cd
Hyphomonadaceae,2532,M+Cd
Iamiaceae,0,M+Cd
Ilumatobacteraceae,0,M+Cd
Inquilinaceae,0,M+Cd
Intrasporangiaceae,8,M+Cd
Isosphaeraceae,0,M+Cd
JG30-KF-AS9,0,M+Cd
JG30-KF-CM45,0,M+Cd
KF-JG30-B3,0,M+Cd
Kineosporiaceae,0,M+Cd
Ktedonobacteraceae,0,M+Cd
Lachnospiraceae,2455.484693,M+Cd
Latescibacteraceae,0,M+Cd
Leptolyngbyaceae,410,M+Cd
Longimicrobiaceae,0,M+Cd
metagenome,0,M+Cd
metal-contaminated soil clone K20-27,0,M+Cd
Methylacidiphilaceae,0,M+Cd
Methyloligellaceae,0,M+Cd
Microbacteriaceae,0,M+Cd
Micrococcaceae,0,M+Cd
Micromonosporaceae,0,M+Cd
Micropepsaceae,68.5,M+Cd
Microscillaceae,0,M+Cd
Mitochondria,0,M+Cd
mle1-27,0,M+Cd
Moraxellaceae,4784.243052,M+Cd
Mycobacteriaceae,0,M+Cd
Nannocystaceae,0,M+Cd
Nitrosomonadaceae,2502.001435,M+Cd
Nitrospiraceae,0,M+Cd
Nocardiaceae,0,M+Cd
Nocardioidaceae,0,M+Cd
Nostocaceae,661.677381,M+Cd
Nostocales Incertae Sedis,0,M+Cd
NS11-12 marine group,0,M+Cd
NS9 marine group,0,M+Cd
Opitutaceae,0,M+Cd
P3OB-42,0,M+Cd
Paenibacillaceae,289.8796176,M+Cd
Parachlamydiaceae,0,M+Cd
Pedosphaeraceae,1940.196881,M+Cd
Peptostreptococcaceae,1852.526992,M+Cd
Phaselicystidaceae,0,M+Cd
Phycisphaeraceae,0,M+Cd
Pirellulaceae,0,M+Cd
Planococcaceae,0,M+Cd
Polyangiaceae,0,M+Cd
Propionibacteriaceae,5.366666667,M+Cd
Pseudomonadaceae,0,M+Cd
Pseudonocardiaceae,443.6388889,M+Cd
Pyrinomonadaceae,1095.967692,M+Cd
Reyranellaceae,0,M+Cd
Rhizobiaceae,1628.697258,M+Cd
Rhizobiales Incertae Sedis,934,M+Cd
Rhodanobacteraceae,0,M+Cd
Rhodocyclaceae,0,M+Cd
Rhodomicrobiaceae,0,M+Cd
Rhodospirillaceae,0,M+Cd
Roseiflexaceae,1679.521229,M+Cd
Rubinisphaeraceae,0,M+Cd
Saccharum hybrid cultivar,0,M+Cd
Sandaracinaceae,0,M+Cd
Saprospiraceae,2690,M+Cd
SC-I-84,2382.511988,M+Cd
Schlesneriaceae,0,M+Cd
Simkaniaceae,0,M+Cd
Solibacteraceae (Subgroup 3),437.7364358,M+Cd
Solimonadaceae,0,M+Cd
Solirubrobacteraceae,0,M+Cd
Sphingobacteriaceae,0,M+Cd
Sphingomonadaceae,5855.146346,M+Cd
Spirosomaceae,0,M+Cd
Sporichthyaceae,0,M+Cd
Steroidobacteraceae,199.9284901,M+Cd
Streptococcaceae,1171.184212,M+Cd
Streptomycetaceae,2496.860634,M+Cd
Streptosporangiaceae,21.46666667,M+Cd
Tepidisphaeraceae,0,M+Cd
Thermoactinomycetaceae,0,M+Cd
Thermoanaerobaculaceae,0,M+Cd
Thermomicrobiaceae,0,M+Cd
Thermomonosporaceae,0,M+Cd
TRA3-20,0,M+Cd
UBA12411,0,M+Cd
uncultivated soil bacterium clone S111,0,M+Cd
uncultured,860.9203824,M+Cd
uncultured Acetobacteraceae bacterium,0,M+Cd
uncultured Acidimicrobiales bacterium,0,M+Cd
uncultured Acidobacteria bacterium,0,M+Cd
uncultured Acidobacteriaceae bacterium,0,M+Cd
uncultured Acidobacteriales bacterium,0,M+Cd
uncultured bacterium,0,M+Cd
uncultured bacterium #0319-6E22,0,M+Cd
uncultured bacterium gp7,0,M+Cd
uncultured bacterium KF-JG30-B11,0,M+Cd
uncultured bacterium PHOS-HC15,0,M+Cd
uncultured bacterium SJA-22,0,M+Cd
uncultured Caldilineaceae bacterium,0,M+Cd
uncultured candidate division OS-K bacterium,0,M+Cd
uncultured candidate division SAM bacterium,0,M+Cd
uncultured Clostridia bacterium,0,M+Cd
uncultured delta proteobacterium,0,M+Cd
uncultured Desulfoglaeba sp.,0,M+Cd
uncultured Desulfovirga sp.,0,M+Cd
uncultured Desulfuromonadales bacterium,0,M+Cd
uncultured Epsilonproteobacteria bacterium,0,M+Cd
uncultured eubacterium WCHB1-58,0,M+Cd
uncultured Ferrimicrobium sp.,0,M+Cd
uncultured Gemmatimonadetes bacterium,0,M+Cd
uncultured Green Bay ferromanganous micronodule bacterium MND8,0,M+Cd
