Family,Accum_btw,Treatment
uncultured Ferrimicrobium sp.,0,Ctrl
uncultured gamma proteobacterium,2,Ctrl
uncultured Gemmatimo0detes bacterium,27,Ctrl
uncultured Holophaga sp.,6.5,Ctrl
uncultured organism,0,Ctrl
uncultured Planctomycetales bacterium,0,Ctrl
uncultured planctomycete,0,Ctrl
uncultured soil bacterium,0,Ctrl
uncultured Solibacterales bacterium,0,Ctrl
Unknown Family,20,Ctrl
Veillonellaceae,4,Ctrl
Vermiphilaceae,2.333333333,Ctrl
Verrucomicrobiaceae,0,Ctrl
Vulgatibacteraceae,1,Ctrl
wastewater metagenome,0,Ctrl
WD2101 soil group,271.8333333,Ctrl
Weeksellaceae,0,Ctrl
Xanthobacteraceae,89,Ctrl
Xanthomo0daceae,218,Ctrl
Xiphinematobacteraceae,0,Ctrl
NA,415.1666667,Ctrl
0319-6G20,17,Cd
67-14,0,Cd
A0839,0.5,Cd
A21b,0,Cd
A4b,9,Cd
Acetobacteraceae,0,Cd
Acidobacteriaceae (Subgroup 1),4,Cd
Aeromo0daceae,0,Cd
AKIW781,0,Cd
AKYH767,6,Cd
Ambiguous_taxa,11,Cd
A0erolineaceae,0,Cd
Archangiaceae,3,Cd
Armatimo0daceae,0,Cd
Azospirillaceae,11,Cd
B1-7BS,0,Cd
Bacillaceae,18.5,Cd
bacteriap25,19.5,Cd
Bacteriovoracaceae,27,Cd
bacterium LWQ8,0,Cd
bacterium WWH38,0,Cd
bacterium YC-LK-LKJ4,0,Cd
Bdellovibrio0ceae,2,Cd
Beijerinckiaceae,4,Cd
BIrii41,5,Cd
Blastocatellaceae,245.5,Cd
Burkholderiaceae,118.5,Cd
Caldilineaceae,1,Cd
Catenulisporaceae,0,Cd
Caulobacteraceae,24,Cd
Cellulomo0daceae,0,Cd
Chitinophagaceae,510.3833333,Cd
Chloroflexaceae,0,Cd
Chthoniobacteraceae,47,Cd
Chthonomo0daceae,0,Cd
Clostridiaceae 1,12.05,Cd
Coleofasciculaceae,0,Cd
CPla-3 termite group,0,Cd
Crocinitomicaceae,0,Cd
Cytophagaceae,0,Cd
Desulfarculaceae,0,Cd
Devosiaceae,2.5,Cd
Diplorickettsiaceae,0,Cd
Dongiaceae,14,Cd
Enterobacteriaceae,0,Cd
Enterococcaceae,0,Cd
env.OPS 17,9,Cd
Family XIII,0,Cd
Fibrobacteraceae,0,Cd
Fimbriimo0daceae,21,Cd
Flavobacteriaceae,0,Cd
Frankiaceae,0,Cd
Gaiellaceae,0,Cd
Gemmataceae,1,Cd
Gemmatimo0daceae,118,Cd
Geobacteraceae,0,Cd
Gracilibacteraceae,0,Cd
Haliangiaceae,22.5,Cd
Heliobacteriaceae,0,Cd
Holosporaceae,0,Cd
Hyphomicrobiaceae,0,Cd
Ilumatobacteraceae,0,Cd
Inquili0ceae,0,Cd
Intrasporangiaceae,30.5,Cd
JG30-KF-AS9,3,Cd
JG30-KF-CM45,0,Cd
KF-JG30-B3,1,Cd
Labraceae,1,Cd
Lachnospiraceae,0,Cd
Lactobacillaceae,0,Cd
Latescibacteraceae,0,Cd
Leptolyngbyaceae,0,Cd
metagenome,35,Cd
metal-contami0ted soil clone K20-27,0,Cd
Methyloligellaceae,0,Cd
Microbacteriaceae,12,Cd
Micrococcaceae,0,Cd
Micromonosporaceae,4.5,Cd
Micropepsaceae,0,Cd
Microscillaceae,0.5,Cd
Mitochondria,0,Cd
mle1-27,4,Cd
Moraxellaceae,0,Cd
Mycobacteriaceae,3,Cd
0nnocystaceae,4,Cd
Nitrosomo0daceae,41,Cd
Nitrospiraceae,0,Cd
Nocardiaceae,0,Cd
Nocardioidaceae,15,Cd
Nostocaceae,0,Cd
NS11-12 marine group,0,Cd
NS9 marine group,0,Cd
Oligoflexaceae,0,Cd
Opitutaceae,10,Cd
P3OB-42,0,Cd
Paenibacillaceae,0,Cd
Pedosphaeraceae,496.6333333,Cd
Peptostreptococcaceae,0,Cd
Phycisphaeraceae,0,Cd
Pirellulaceae,3.5,Cd
Planococcaceae,3,Cd
Polyangiaceae,0,Cd
Pseudomo0daceae,0,Cd
Pseudonocardiaceae,0,Cd
Pyrinomo0daceae,69,Cd
Reyranellaceae,18,Cd
Rhizobiaceae,36,Cd
Rhizobiales Incertae Sedis,3.5,Cd
Rhodanobacteraceae,31.23333333,Cd
Rhodocyclaceae,0,Cd
Roseiflexaceae,12,Cd
Rubinisphaeraceae,102.5,Cd
Rubritaleaceae,0,Cd
Ruminococcaceae,0,Cd
Saccharimo0daceae,0,Cd
Saccharum hybrid cultivar,0,Cd
Sandaraci0ceae,0,Cd
Saprospiraceae,14,Cd
SC-I-84,4,Cd
Simkaniaceae,0,Cd
soil bacterium WF55,0,Cd
Solibacteraceae (Subgroup 3),161.5,Cd
Sphingomo0daceae,252.0666667,Cd
Spirosomaceae,11,Cd
Sporichthyaceae,0,Cd
Steroidobacteraceae,17.5,Cd
Streptomycetaceae,8.5,Cd
Streptosporangiaceae,0,Cd
Tepidisphaeraceae,0,Cd
Terrimicrobiaceae,0,Cd
Thermoa0erobaculaceae,2,Cd
TRA3-20,3.5,Cd
uncultivated soil bacterium clone S111,24,Cd
uncultured,63.16666667,Cd
uncultured Acetobacteraceae bacterium,18.6,Cd
uncultured Acidimicrobiales bacterium,0,Cd
uncultured Acidobacteria bacterium,0,Cd
uncultured Armatimo0detes bacterium,0,Cd
uncultured bacterium,0,Cd
uncultured bacterium #0319-6E22,0,Cd
uncultured bacterium KF-JG30-B11,29,Cd
uncultured bacterium SBR1071,0,Cd
uncultured bacterium SBR2013,0,Cd
uncultured bacterium SBR2096,0,Cd
uncultured candidate division OS-K bacterium,0,Cd
uncultured candidate division SAM bacterium,0,Cd
uncultured Chloroflexi bacterium,0,Cd
uncultured Clostridia bacterium,0,Cd
uncultured Desulfovirga sp.,1,Cd
uncultured Desulfuromo0dales bacterium,0,Cd
uncultured Epsilonproteobacteria bacterium,0,Cd
uncultured Ferrimicrobium sp.,0,Cd
uncultured gamma proteobacterium,0,Cd
uncultured Gemmatimo0detes bacterium,5,Cd
uncultured Holophaga sp.,0,Cd
uncultured organism,3,Cd
uncultured Planctomycetales bacterium,0,Cd
uncultured planctomycete,0,Cd
uncultured soil bacterium,0,Cd
uncultured Solibacterales bacterium,0,Cd
Unknown Family,15.33333333,Cd
Veillonellaceae,0,Cd
Vermiphilaceae,0,Cd
Verrucomicrobiaceae,10,Cd
Vulgatibacteraceae,0,Cd
wastewater metagenome,0,Cd
WD2101 soil group,92.5,Cd
Weeksellaceae,0,Cd
Xanthobacteraceae,106,Cd
Xanthomo0daceae,173.5,Cd
Xiphinematobacteraceae,0,Cd
NA,494.0333333,Cd
0319-6G20,5,M
67-14,0,M
A0839,0,M
A21b,8,M
A4b,25,M
Acetobacteraceae,0,M
Acidobacteriaceae (Subgroup 1),13,M
Aeromo0daceae,0,M
AKIW781,0,M
AKYH767,10,M
Ambiguous_taxa,7.5,M
A0erolineaceae,0,M
Archangiaceae,0,M
Armatimo0daceae,16,M
Azospirillaceae,0,M
B1-7BS,0,M
Bacillaceae,33,M
bacteriap25,3,M
Bacteriovoracaceae,0,M
bacterium LWQ8,18,M
bacterium WWH38,0,M
bacterium YC-LK-LKJ4,0,M
Bdellovibrio0ceae,184,M
Beijerinckiaceae,16,M
BIrii41,0,M
Blastocatellaceae,591.1666667,M
Burkholderiaceae,127.5,M
Caldilineaceae,0,M
Catenulisporaceae,0,M
Caulobacteraceae,12.5,M
Cellulomo0daceae,0,M
Chitinophagaceae,436.8333333,M
Chloroflexaceae,0,M
Chthoniobacteraceae,136,M
Chthonomo0daceae,0,M
Clostridiaceae 1,488,M
Coleofasciculaceae,0,M
CPla-3 termite group,1,M
Crocinitomicaceae,0,M
Cytophagaceae,0,M
Desulfarculaceae,5,M
Devosiaceae,0,M
Diplorickettsiaceae,11,M
Dongiaceae,8,M
Enterobacteriaceae,0,M
Enterococcaceae,0,M
env.OPS 17,0,M
Family XIII,0,M
Fibrobacteraceae,2,M
Fimbriimo0daceae,16,M
Flavobacteriaceae,12,M
Frankiaceae,0,M
Gaiellaceae,3,M
Gemmataceae,252,M
Gemmatimo0daceae,351.8333333,M
Geobacteraceae,278.5,M
Gracilibacteraceae,34,M
Haliangiaceae,0,M
Heliobacteriaceae,39,M
Holosporaceae,0,M
Hyphomicrobiaceae,9,M
Ilumatobacteraceae,1,M
Inquili0ceae,0,M
Intrasporangiaceae,24.33333333,M
JG30-KF-AS9,1,M
JG30-KF-CM45,0,M
KF-JG30-B3,12,M
Labraceae,0,M
Lachnospiraceae,0,M
Lactobacillaceae,0,M
Latescibacteraceae,0,M
Leptolyngbyaceae,0,M
metagenome,3,M
metal-contami0ted soil clone K20-27,0,M
Methyloligellaceae,42,M
Microbacteriaceae,0,M
Micrococcaceae,0,M
Micromonosporaceae,7.5,M
Micropepsaceae,11,M
Microscillaceae,16.5,M
Mitochondria,0,M
mle1-27,2,M
Moraxellaceae,0,M
Mycobacteriaceae,0,M
0nnocystaceae,0,M
Nitrosomo0daceae,344,M
Nitrospiraceae,0,M
Nocardiaceae,0,M
Nocardioidaceae,51,M
Nostocaceae,0,M
NS11-12 marine group,0,M
NS9 marine group,0,M
Oligoflexaceae,0,M
Opitutaceae,3,M
P3OB-42,0,M
Paenibacillaceae,0,M
Pedosphaeraceae,72.83333333,M
Peptostreptococcaceae,1,M
Phycisphaeraceae,8,M
Pirellulaceae,131.5,M
Planococcaceae,0,M
Polyangiaceae,300,M
Pseudomo0daceae,2,M
Pseudonocardiaceae,0,M
Pyrinomo0daceae,100.8333333,M
Reyranellaceae,0,M
Rhizobiaceae,89,M
Rhizobiales Incertae Sedis,4.5,M
Rhodanobacteraceae,21,M
Rhodocyclaceae,25,M
Roseiflexaceae,291.6666667,M
Rubinisphaeraceae,2,M
Rubritaleaceae,0,M
Ruminococcaceae,0,M
Saccharimo0daceae,4.666666667,M
Saccharum hybrid cultivar,1.5,M
Sandaraci0ceae,0,M
Saprospiraceae,19,M
SC-I-84,45,M
Simkaniaceae,0,M
soil bacterium WF55,16,M
Solibacteraceae (Subgroup 3),5,M
Sphingomo0daceae,181.1666667,M
Spirosomaceae,32,M
Sporichthyaceae,0,M
Steroidobacteraceae,292.6666667,M
Streptomycetaceae,12,M
Streptosporangiaceae,0,M
Tepidisphaeraceae,4,M
Terrimicrobiaceae,0,M
Thermoa0erobaculaceae,9,M
TRA3-20,0,M
uncultivated soil bacterium clone S111,0,M
uncultured,12.5,M
uncultured Acetobacteraceae bacterium,0,M
uncultured Acidimicrobiales bacterium,0,M
uncultured Acidobacteria bacterium,0,M
uncultured Armatimo0detes bacterium,0,M
uncultured bacterium,0,M
uncultured bacterium #0319-6E22,0,M
uncultured bacterium KF-JG30-B11,0,M
uncultured bacterium SBR1071,0,M
uncultured bacterium SBR2013,0,M
uncultured bacterium SBR2096,0,M
uncultured candidate division OS-K bacterium,0,M
uncultured candidate division SAM bacterium,0,M
uncultured Chloroflexi bacterium,0,M
uncultured Clostridia bacterium,0,M
uncultured Desulfovirga sp.,0,M
uncultured Desulfuromo0dales bacterium,0,M
uncultured Epsilonproteobacteria bacterium,1,M
uncultured Ferrimicrobium sp.,0,M
uncultured gamma proteobacterium,0,M
uncultured Gemmatimo0detes bacterium,19,M
uncultured Holophaga sp.,0,M
uncultured organism,8,M
uncultured Planctomycetales bacterium,0,M
uncultured planctomycete,0,M
uncultured soil bacterium,24,M
uncultured Solibacterales bacterium,0,M
Unknown Family,0,M
Veillonellaceae,1,M
Vermiphilaceae,4,M
Verrucomicrobiaceae,2,M
Vulgatibacteraceae,0,M
wastewater metagenome,0,M
WD2101 soil group,306,M
Weeksellaceae,5,M
Xanthobacteraceae,8,M
Xanthomo0daceae,47.5,M
Xiphinematobacteraceae,0,M
NA,276.5,M
0319-6G20,5,M+Cd
67-14,0,M+Cd
A0839,0,M+Cd
A21b,0,M+Cd
A4b,664.3104229,M+Cd
Acetobacteraceae,0,M+Cd
Acidobacteriaceae (Subgroup 1),2,M+Cd
Aeromo0daceae,0,M+Cd
AKIW781,0,M+Cd
AKYH767,0.5,M+Cd
Ambiguous_taxa,0,M+Cd
A0erolineaceae,2,M+Cd
Archangiaceae,454,M+Cd
Armatimo0daceae,0,M+Cd
Azospirillaceae,0,M+Cd
B1-7BS,0,M+Cd
Bacillaceae,644,M+Cd
bacteriap25,2857.5,M+Cd
Bacteriovoracaceae,0,M+Cd
bacterium LWQ8,0,M+Cd
bacterium WWH38,0,M+Cd
bacterium YC-LK-LKJ4,0,M+Cd
Bdellovibrio0ceae,0,M+Cd
Beijerinckiaceae,1,M+Cd
BIrii41,0,M+Cd
Blastocatellaceae,427.1651107,M+Cd
Burkholderiaceae,5233.5,M+Cd
Caldilineaceae,0,M+Cd
Catenulisporaceae,0,M+Cd
Caulobacteraceae,2,M+Cd
Cellulomo0daceae,0,M+Cd
Chitinophagaceae,5435.507013,M+Cd
Chloroflexaceae,0,M+Cd
Chthoniobacteraceae,624,M+Cd
Chthonomo0daceae,0,M+Cd
Clostridiaceae 1,633.9387172,M+Cd
Coleofasciculaceae,0,M+Cd
CPla-3 termite group,0,M+Cd
Crocinitomicaceae,0,M+Cd
Cytophagaceae,0,M+Cd
Desulfarculaceae,7.333333333,M+Cd
Devosiaceae,0,M+Cd
Diplorickettsiaceae,10,M+Cd
Dongiaceae,0,M+Cd
Enterobacteriaceae,0,M+Cd
Enterococcaceae,0,M+Cd
env.OPS 17,0,M+Cd
Family XIII,89.01863799,M+Cd
Fibrobacteraceae,2,M+Cd
Fimbriimo0daceae,16,M+Cd
Flavobacteriaceae,0,M+Cd
Frankiaceae,0,M+Cd
Gaiellaceae,1,M+Cd
Gemmataceae,17,M+Cd
Gemmatimo0daceae,7964.166667,M+Cd
Geobacteraceae,0,M+Cd
Gracilibacteraceae,513.5,M+Cd
Haliangiaceae,0,M+Cd
Heliobacteriaceae,0,M+Cd
Holosporaceae,0,M+Cd
Hyphomicrobiaceae,0,M+Cd
Ilumatobacteraceae,0.5,M+Cd
Inquili0ceae,0,M+Cd
Intrasporangiaceae,3,M+Cd
JG30-KF-AS9,0,M+Cd
JG30-KF-CM45,0,M+Cd
KF-JG30-B3,0,M+Cd
Labraceae,0,M+Cd
Lachnospiraceae,28.5,M+Cd
Lactobacillaceae,0,M+Cd
Latescibacteraceae,0,M+Cd
Leptolyngbyaceae,0,M+Cd
metagenome,1452,M+Cd
metal-contami0ted soil clone K20-27,0,M+Cd
Methyloligellaceae,0,M+Cd
Microbacteriaceae,1,M+Cd
Micrococcaceae,0,M+Cd
Micromonosporaceae,0,M+Cd
Micropepsaceae,0,M+Cd
Microscillaceae,0,M+Cd
Mitochondria,0,M+Cd
mle1-27,0,M+Cd
Moraxellaceae,42.33333333,M+Cd
Mycobacteriaceae,0,M+Cd
0nnocystaceae,0,M+Cd
Nitrosomo0daceae,4,M+Cd
Nitrospiraceae,0,M+Cd
Nocardiaceae,0,M+Cd
Nocardioidaceae,201.5,M+Cd
Nostocaceae,0,M+Cd
NS11-12 marine group,0,M+Cd
NS9 marine group,0,M+Cd
Oligoflexaceae,0,M+Cd
Opitutaceae,41.5,M+Cd
P3OB-42,0,M+Cd
Paenibacillaceae,0,M+Cd
Pedosphaeraceae,1844.787795,M+Cd
Peptostreptococcaceae,0,M+Cd
Phycisphaeraceae,13.5,M+Cd
Pirellulaceae,24,M+Cd
Planococcaceae,0,M+Cd
Polyangiaceae,1257.5,M+Cd
Pseudomo0daceae,0,M+Cd
Pseudonocardiaceae,0,M+Cd
Pyrinomo0daceae,4291.674962,M+Cd
Reyranellaceae,0.5,M+Cd
Rhizobiaceae,65,M+Cd
Rhizobiales Incertae Sedis,1,M+Cd
Rhodanobacteraceae,101,M+Cd
Rhodocyclaceae,20,M+Cd
Roseiflexaceae,545,M+Cd
Rubinisphaeraceae,0,M+Cd
Rubritaleaceae,0,M+Cd
Ruminococcaceae,0.5,M+Cd
Saccharimo0daceae,7.333333333,M+Cd
Saccharum hybrid cultivar,126,M+Cd
Sandaraci0ceae,1096,M+Cd
Saprospiraceae,460.75,M+Cd
SC-I-84,12,M+Cd
Simkaniaceae,0,M+Cd
soil bacterium WF55,0,M+Cd
Solibacteraceae (Subgroup 3),3912,M+Cd
Sphingomo0daceae,17715.35527,M+Cd
Spirosomaceae,0,M+Cd
Sporichthyaceae,0,M+Cd
Steroidobacteraceae,1344,M+Cd
Streptomycetaceae,651.8147684,M+Cd
Streptosporangiaceae,0,M+Cd
Tepidisphaeraceae,0,M+Cd
Terrimicrobiaceae,0,M+Cd
Thermoa0erobaculaceae,0,M+Cd
TRA3-20,0,M+Cd
uncultivated soil bacterium clone S111,0,M+Cd
uncultured,63,M+Cd
uncultured Acetobacteraceae bacterium,0,M+Cd
uncultured Acidimicrobiales bacterium,0,M+Cd
uncultured Acidobacteria bacterium,0,M+Cd
uncultured Armatimo0detes bacterium,0,M+Cd
uncultured bacterium,0,M+Cd
uncultured bacterium #0319-6E22,0,M+Cd
uncultured bacterium KF-JG30-B11,0,M+Cd
uncultured bacterium SBR1071,0,M+Cd
uncultured bacterium SBR2013,0,M+Cd
uncultured bacterium SBR2096,2900,M+Cd
uncultured candidate division OS-K bacterium,0,M+Cd
uncultured candidate division SAM bacterium,0,M+Cd
uncultured Chloroflexi bacterium,159.5,M+Cd
uncultured Clostridia bacterium,0,M+Cd
uncultured Desulfovirga sp.,0,M+Cd
uncultured Desulfuromo0dales bacterium,0,M+Cd
uncultured Epsilonproteobacteria bacterium,0,M+Cd
uncultured Ferrimicrobium sp.,0,M+Cd
uncultured gamma proteobacterium,0,M+Cd
uncultured Gemmatimo0detes bacterium,2859,M+Cd
uncultured Holophaga sp.,0,M+Cd
uncultured organism,4,M+Cd
uncultured Planctomycetales bacterium,0,M+Cd
uncultured planctomycete,0,M+Cd
uncultured soil bacterium,159.6666667,M+Cd
uncultured Solibacterales bacterium,0,M+Cd
Unknown Family,2141,M+Cd
Veillonellaceae,1003.583333,M+Cd
Vermiphilaceae,0,M+Cd
Verrucomicrobiaceae,443.5,M+Cd
Vulgatibacteraceae,0,M+Cd
wastewater metagenome,6,M+Cd
WD2101 soil group,1542.2,M+Cd
Weeksellaceae,0,M+Cd
Xanthobacteraceae,3,M+Cd
Xanthomo0daceae,3451.833333,M+Cd
Xiphinematobacteraceae,0,M+Cd
NA,2235.227299,M+Cd
