Family,Accum_node_deg,Treatment
uncultured Holophaga sp.,0,M+Cd
uncultured organism,0,M+Cd
uncultured Planctomycetales bacterium,0,M+Cd
uncultured planctomycete,0,M+Cd
uncultured prokaryote,0,M+Cd
uncultured proteobacterium,0,M+Cd
uncultured soil bacterium,4,M+Cd
uncultured Solibacterales bacterium,0,M+Cd
uncultured Xanthomonadales bacterium,0,M+Cd
Unknown Family,12,M+Cd
Vermiphilaceae,0,M+Cd
Verrucomicrobiaceae,0,M+Cd
Vibrionaceae,0,M+Cd
Vulgatibacteraceae,0,M+Cd
WD2101 soil group,23,M+Cd
Weeksellaceae,8,M+Cd
Xanthobacteraceae,11,M+Cd
Xanthomonadaceae,5,M+Cd
NA,47,M+Cd
