"ID","Name","node.degree","node.betw","node.stress","node.evcent","Clustering.Coefficient","No. module","Zi","Pi","Phylum","Class","Order","Family","Genus","Species"
18,"Zotu1093",3,2384.25,7064,0.000484086567303477,0,3,0.710805708506027,0,"Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae",NA,NA
19,"Zotu11",5,1985,21960,1.54530665693202e-07,0.3,2,1.85996221990111,0,"Firmicutes","Bacilli",NA,NA,NA,NA
20,"Zotu110",2,12,12,1.14222977623426e-90,0,13,0.377964473009227,0,"Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA
21,"Zotu111",2,0,0,1.42129636843424e-29,1,4,-0.776150525706333,0,"Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria Incertae Sedis","Unknown Family","EcFYyy-200",NA
22,"Zotu1117",1,0,0,3.58919942985274e-150,0,61,0,0,"Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae",NA,NA
23,"Zotu112",1,0,0,3.58919942985274e-150,0,43,0,0,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium",NA
24,"Zotu113",4,179.759157153808,1602,0.000219360757849832,0.5,11,1.62746694241347,0,"Acidobacteria","Blastocatellia (Subgroup 4)","44889","uncultivated soil bacterium clone S111",NA,NA
25,"Zotu1131",1,0,0,3.58919942985274e-150,0,46,0,0,"Firmicutes","Bacilli","Bacillales","Alicyclobacillaceae","Tumebacillus",NA
26,"Zotu1132",3,59,107,1.12545238928466e-29,0,4,-0.0388075262853168,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
27,"Zotu1133",2,9,9,3.0572540053383e-47,0,8,-0.280056016805602,0,"Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","Phaeodactylibacter","uncultured Haliscomenobacter sp."
28,"Zotu1135",2,4,4,3.32962686642646e-101,0,17,0.816496580927727,0,"Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family","Acidibacter",NA
29,"Zotu115",2,163,1346,0.00838856935428645,0,6,-0.658152055831782,0,"Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101 soil group","uncultured soil bacterium",NA
30,"Zotu1152",6,1031.42429824561,5889,0.000646247046010106,0.133333333333333,5,2.21702608878709,0.277777777777778,"Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","uncultured subdivision 3 bacterium",NA
31,"Zotu1176",1,0,0,3.58919942985274e-150,0,56,0,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Nitrosomonadaceae","MND1","uncultured Nitrosomonadales bacterium"
32,"Zotu118",1,0,0,3.58919942985274e-150,0,54,0,0,"Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101 soil group","Planctomycetales bacterium Ellin7224",NA
33,"Zotu1197",1,0,0,3.58919942985274e-150,0,52,0,0,"Proteobacteria","Deltaproteobacteria","Desulfarculales","Desulfarculaceae","uncultured","uncultured proteobacterium"
34,"Zotu12",3,3,3,7.8227235278845e-76,0.333333333333333,21,1.1180339887499,0,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ensifer",NA
35,"Zotu1204",2,263.682272727273,915,0.00322306409953496,0,11,-0.464990554975277,0,"Proteobacteria","Deltaproteobacteria","Myxococcales","BIrii41","uncultured Sorangiineae bacterium",NA
36,"Zotu121",1,0,0,1.81994032463666e-119,0,31,0,0,"Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101 soil group",NA,NA
37,"Zotu1217",3,1079.19601541733,3091,0.0026668186591186,0,7,-1.38469899413115,0.666666666666667,"Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria Incertae Sedis","Unknown Family","EcFYyy-200",NA
38,"Zotu1221",1,0,0,1.66481343321323e-101,0,18,-1.22474487139159,0,"Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae",NA,NA
39,"Zotu123",2,18,30,5.25957281783695e-33,0,0,-1.10554159678513,0,"Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
40,"Zotu1232",2,5,6,8.4952695210686e-64,0,12,-0.408248290463863,0,"Chloroflexi","Ktedonobacteria","Ktedonobacterales","JG30-KF-AS9",NA,NA
41,"Zotu124",4,65.5,126,3.74124845270787e-29,0.333333333333333,4,0.6985354731357,0,"Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
42,"Zotu125",1,0,0,0.000121430078153917,0,5,-1.45999279017686,0,"Cyanobacteria","Oxyphotobacteria","Nostocales",NA,NA,NA
43,"Zotu1263",1,0,0,3.58919942985274e-150,0,60,0,0,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Dokdonella",NA
44,"Zotu1264",3,1139.52987905369,5192,0.113192815743505,0.333333333333333,6,-0.658152055831782,0.444444444444444,"Acidobacteria","Subgroup 5",NA,NA,NA,NA
45,"Zotu1270",2,230.315606060606,657,0.0158852780290788,0,11,-0.464990554975277,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA
46,"Zotu1292",2,0,0,1.21475117702554e-30,1,4,-0.776150525706333,0,"Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter",NA
47,"Zotu1295",2,0,0,1.84563875592418e-88,1,26,0,0,"Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus",NA
48,"Zotu130",1,0,0,1.81994032463666e-119,0,33,0,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
49,"Zotu1306",1,0,0,3.58919942985274e-150,0,40,0,0,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Nitrosomonadaceae","Ellin6067",NA
50,"Zotu132",3,0,0,4.71626579824867e-46,1,8,0.490098029409804,0,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
51,"Zotu134",1,0,0,9.90710278250816e-09,0,2,-0.929981109950555,0,"Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured","uncultured Granulicella sp."
52,"Zotu1341",5,764.737759736441,12090,0.00235744930437574,0.1,1,0.851688402133291,0,"Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family","Acidibacter",NA
53,"Zotu136",2,0,0,1.84563875592418e-88,1,25,0,0,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",NA
54,"Zotu1361",4,243.666666666667,3783,3.12033270715002e-05,0,10,1.18321595661992,0,"Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium",NA
55,"Zotu1367",4,31.85,411,0.0200658256857816,0.833333333333333,7,0.791256568074944,0,"Proteobacteria","Deltaproteobacteria","Myxococcales","BIrii41","uncultured Sorangiineae bacterium",NA
56,"Zotu137",4,471,6960,5.31287154354998e-08,0.666666666666667,2,1.16247638743819,0,"Proteobacteria","Alphaproteobacteria","Dongiales","Dongiaceae","Dongia","Azospirillum sp. T2-YC6788"
57,"Zotu1375",3,0,0,9.1808853119799e-07,1,5,0.378516649305113,0,"Proteobacteria","Alphaproteobacteria","Rhizobiales","KF-JG30-B3","uncultured Phyllobacteriaceae bacterium",NA
58,"Zotu138",2,0,0,3.57464765485176e-63,1,12,-0.408248290463863,0,"Chloroflexi","KD4-96",NA,NA,NA,NA
59,"Zotu1383",2,34,58,1.85574977289195e-32,0,0,-1.10554159678513,0,"Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","uncultured",NA
60,"Zotu139",2,324,4650,4.36197341411327e-09,0,2,-0.232495277487639,0,"Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae",NA,NA
61,"Zotu14",1,0,0,1.81994032463666e-119,0,32,0,0,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
62,"Zotu1408",1,0,0,1.66481343321323e-101,0,17,-1.22474487139159,0,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter",NA
63,"Zotu141",1,0,0,3.58919942985274e-150,0,51,0,0,"Cyanobacteria","Oxyphotobacteria","Nostocales",NA,NA,NA
64,"Zotu1412",1,0,0,3.58919942985274e-150,0,59,0,0,"Firmicutes","Clostridia","Clostridiales","Clostridiaceae 1",NA,NA
65,"Zotu143",4,556.833333333333,6607,7.55709583177868e-05,0,10,1.18321595661992,0,"Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","uncultured","Acidobacteria bacterium 13_2_20CM_56_17"
66,"Zotu1460",1,0,0,3.58919942985274e-150,0,58,0,0,"Firmicutes","Bacilli","Bacillales","Planococcaceae",NA,NA
67,"Zotu147",2,0,0,1.84563875592418e-88,1,30,0,0,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
68,"Zotu1483",3,0.5,2,3.58442143655267e-29,0.666666666666667,4,-0.0388075262853168,0,"Cyanobacteria","Oxyphotobacteria",NA,NA,NA,NA
69,"Zotu14864",3,130.24315569488,2028,0.000987146827753749,0,1,-0.757056357451814,0.444444444444444,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavisolibacter","uncultured Sphingobacteriia bacterium"
70,"Zotu1524",1,0,0,3.58919942985274e-150,0,47,0,0,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
71,"Zotu15503",3,32,56,3.51471030280349e-30,0.333333333333333,4,-0.0388075262853168,0,"Firmicutes","Bacilli","Lactobacillales",NA,NA,NA
72,"Zotu1557",6,3142.24575453532,27153,0.00133498222254328,0,1,0.315440148938256,0.5,NA,NA,NA,NA,NA,NA
73,"Zotu156",5,325,2343,5.27252865118517e-08,0.3,2,1.85996221990111,0,"Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Kitasatospora",NA
74,"Zotu158",3,0,0,0.121368048452859,1,6,-0.205672517447432,0,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
75,"Zotu16",2,0,0,0.0318461018327637,1,6,-0.658152055831782,0,"Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
76,"Zotu160",1,0,0,1.80703464648193e-107,0,20,-1,0,"Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Hamadaea",NA
77,"Zotu162",5,4892.64556173246,35744,0.00998482087222209,0.4,1,0.315440148938256,0.32,"Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae (Subgroup 3)","Bryobacter","uncultured Holophaga sp."
78,"Zotu1630",1,0,0,1.81994032463666e-119,0,38,0,0,"Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
79,"Zotu1634",1,0,0,1.66481343321323e-101,0,18,-1.22474487139159,0,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Niastella",NA
80,"Zotu16397",1,0,0,3.58919942985274e-150,0,62,0,0,"Firmicutes","Bacilli","Bacillales","Bacillaceae",NA,NA
81,"Zotu164",2,3,3,3.32962686642646e-101,0,18,0.816496580927727,0,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Enhydrobacter",NA
82,"Zotu1658",1,0,0,3.19581294463566e-64,0,12,-1.83711730708738,0,"Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",NA
83,"Zotu166",2,5,5,7.32839158106482e-90,0,14,0.408248290463863,0,"Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter","uncultured Luteolibacter sp."
84,"Zotu168",1,0,0,3.58919942985274e-150,0,47,0,0,"Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41","uncultured Blastocatella sp."
85,"Zotu16847",1,0,0,3.58919942985274e-150,0,62,0,0,"Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
86,"Zotu169",4,732.130121581952,12180,0.00415426650967748,0.666666666666667,1,0.315440148938256,0,"Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Amycolatopsis",NA
87,"Zotu17",1,0,0,3.77573964139043e-06,0,3,-1.04530251250886,0,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
88,"Zotu170",1,0,0,1.81994032463666e-119,0,32,0,0,"Chloroflexi","Anaerolineae","SBR1031","A4b",NA,NA
89,"Zotu171",2,1,1,3.63988064927332e-119,0,34,0,0,"Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured","uncultured Granulicella sp."
90,"Zotu1714",2,0,0,1.84563875592418e-88,1,28,0,0,"Chloroflexi","Ktedonobacteria","Ktedonobacterales","JG30-KF-AS9",NA,NA
91,"Zotu173",1,0,0,4.64905347358767e-06,0,3,-1.04530251250886,0,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales Incertae Sedis","Nordella","Nordella oligomobilis"
92,"Zotu174",1,0,0,3.58919942985274e-150,0,45,0,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
93,"Zotu17775",4,1770.51897550077,19180,0.00200623717247903,0,1,0.315440148938256,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
94,"Zotu18",1,0,0,1.66481343321323e-101,0,16,-1.22474487139159,0,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
95,"Zotu18001",3,2,4,4.7511534305841e-63,0.666666666666667,12,1.02062072615966,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
96,"Zotu1801",4,5.33333333333333,26,2.28139608538767e-31,0.833333333333333,0,0.904534033733291,0,"Armatimonadetes","Fimbriimonadia","Fimbriimonadales","Fimbriimonadaceae","Armatimonadetes bacterium 55-13",NA
97,"Zotu18074",6,263,2234,0.377368072749531,0.666666666666667,6,1.15176609770562,0,"Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae",NA,NA
98,"Zotu181",2,10,10,7.90447530689347e-91,0,13,0.377964473009227,0,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium",NA
99,"Zotu182",1,0,0,3.58919942985274e-150,0,42,0,0,"Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101 soil group","uncultured Planctomycetales bacterium",NA
100,"Zotu183",4,1282.36898458267,15327,0.000183240506684424,0.333333333333333,5,1.2977713690461,0,"Planctomycetes","Phycisphaerae","Tepidisphaerales",NA,NA,NA
101,"Zotu184",4,1505.35,3995,0.000103165849133917,0,3,1.58885981901347,0,"Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA,NA
102,"Zotu185",1,0,0,5.39274167510406e-06,0,3,-1.04530251250886,0,"Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas",NA
103,"Zotu186",5,5279.45439651577,25413,0.0368605807799705,0.2,6,-0.658152055831782,0.64,"Acidobacteria","Acidobacteriia","Subgroup 13","uncultured Solibacterales bacterium",NA,NA
104,"Zotu187",1,0,0,0.000281409530263158,0,1,-1.29330461064685,0,"Cyanobacteria","Oxyphotobacteria","Nostocales","Coleofasciculaceae","Microcoleus Es-Yyy1400","Microcoleus paludosus Es_Yyy1400"
105,"Zotu18709",2,0,0,1.84563875592418e-88,1,28,0,0,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae",NA,NA
106,"Zotu188",1,0,0,3.58919942985274e-150,0,46,0,0,"Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101 soil group",NA,NA
107,"Zotu189",2,0,0,3.45636684559485e-81,1,24,0,0,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
108,"Zotu19",6,1431.912682084,6151,0.0528992877670191,0.2,7,1.51657508881031,0.277777777777778,"Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA
109,"Zotu190",3,2515,26472,3.09700557518048e-06,0,2,0.464990554975277,0,"Chloroflexi","Anaerolineae","SBR1031","uncultured Gemmatimonadetes bacterium",NA,NA
110,"Zotu19051",2,3,3,3.32962686642646e-101,0,15,0.816496580927727,0,"Acidobacteria","Subgroup 6",NA,NA,NA,NA
111,"Zotu191",2,16,16,8.88872763635923e-47,0,8,-0.280056016805602,0,"Acidobacteria","Subgroup 6",NA,NA,NA,NA
112,"Zotu192",1,0,0,0.000400157523717343,0,9,-1.26865639599337,0,"Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
113,"Zotu1924",2,0,0,1.84563875592418e-88,1,28,0,0,"Acidobacteria","Subgroup 6",NA,NA,NA,NA
114,"Zotu196",2,0,0,0.00014952609025652,1,5,-0.540738070435875,0,"Chloroflexi","Anaerolineae","SBR1031","A4b","uncultured Caldilineales bacterium",NA
115,"Zotu198",2,3,3,3.32962686642646e-101,0,16,0.816496580927727,0,"Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured",NA
116,"Zotu1985",1,0,0,1.66481343321323e-101,0,23,-0.577350269189626,0,"Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium",NA
117,"Zotu199",4,159,2871,0.00106522231607829,0.833333333333333,1,0.315440148938256,0,"Acidobacteria","Acidobacteriia","Acidobacteriales","uncultured","bacterium Ellin7529",NA
118,"Zotu1998",1,0,0,1.66481343321323e-101,0,23,-0.577350269189626,0,"Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
119,"Zotu2",2,0,0,1.84563875592418e-88,1,27,0,0,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",NA
120,"Zotu200",2,2,2,2.92384347685642e-107,0,20,1,0,"Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101 soil group",NA,NA
121,"Zotu201",3,0,0,9.1808853119799e-07,1,5,0.378516649305113,0,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae",NA,NA
122,"Zotu2010",2,0,0,1.21475117702554e-30,1,4,-0.776150525706333,0,"Firmicutes","Bacilli","Bacillales","Family XII","Exiguobacterium",NA
123,"Zotu202",3,325,2219,0.000432933355492634,0,1,-0.220808104256779,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
124,"Zotu203",6,263,2234,0.377368072749531,0.666666666666667,6,1.15176609770562,0,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Robinsoniella",NA
125,"Zotu20394",3,0,0,0.21272283493556,1,6,-0.205672517447432,0,"Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
126,"Zotu2049",4,5.33333333333333,26,2.28139608538767e-31,0.833333333333333,0,0.904534033733291,0,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium",NA
127,"Zotu208",1,0,0,1.81994032463666e-119,0,37,0,0,"Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Nocardia",NA
128,"Zotu214",3,17,50,1.52168289575085e-29,0.333333333333333,4,-0.0388075262853168,0,"Acidobacteria","Blastocatellia (Subgroup 4)","44889","metagenome",NA,NA
129,"Zotu215",2,163,461,0.0785304799750664,0,6,-0.658152055831782,0,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
130,"Zotu2159",1,0,0,0.0178715601784582,0,7,-1.38469899413115,0,"Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter",NA
131,"Zotu218",3,8.5,28,5.13856781661562e-32,0.666666666666667,0,-0.100503781525921,0,"Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
132,"Zotu2192",3,424.454983001242,3372,0.000333279645537344,0.333333333333333,11,-0.464990554975277,0.444444444444444,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","SC-I-84",NA,NA
133,"Zotu220",2,287.232272727273,849,0.0813178845492056,0,11,-1.51121930366965,0.5,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
134,"Zotu221",2,12,12,1.24291276211353e-90,0,13,0.377964473009227,0,"Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae",NA,NA
135,"Zotu223",6,42.5,98,6.01081001825783e-29,0.266666666666667,4,2.17322147197773,0,"Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
136,"Zotu224",1,0,0,3.58919942985274e-150,0,51,0,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
137,"Zotu2249",3,3,3,4.99444029963968e-101,0,23,1.73205080756888,0,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA
138,"Zotu229",1,0,0,5.43933155615851e-90,0,14,-1.02062072615966,0,"Acidobacteria","Subgroup 6","uncultured Holophagae bacterium",NA,NA,NA
139,"Zotu2298",4,5.33333333333333,26,2.28139608538767e-31,0.833333333333333,0,0.904534033733291,0,"Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus",NA
140,"Zotu23",2,1,1,3.63988064927332e-119,0,35,0,0,"Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae","uncultured","uncultured Acidobacteriales bacterium"
141,"Zotu232",5,104,234,2.28346557352861e-31,0.3,0,1.9095718489925,0,"Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)",NA,NA
142,"Zotu234",2,163,2326,8.49613522063187e-10,0,2,-0.232495277487639,0,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavisolibacter","uncultured Sphingobacteriia bacterium"
143,"Zotu237",3,163,1172,7.56641424936703e-05,0.333333333333333,2,0.464990554975277,0,"Acidobacteria","Acidobacteriia","Acidobacteriales","uncultured",NA,NA
144,"Zotu238",1,0,0,2.89069827590428e-30,0,4,-1.51349352512735,0,"Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter","uncultured Spartobacteria bacterium"
145,"Zotu24",2,0,0,6.79416908856054e-76,1,21,0,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
146,"Zotu240",1,0,0,3.58919942985274e-150,0,67,0,0,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
147,"Zotu242",1,0,0,1.66481343321323e-101,0,22,-0.577350269189626,0,"Acidobacteria","Subgroup 6","uncultured Holophagae bacterium",NA,NA,NA
148,"Zotu2466",2,1,1,3.63988064927332e-119,0,37,0,0,"Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Aerococcus",NA
149,"Zotu249",10,3008.99893939394,13460,0.416885938775055,0.2,6,2.05672517447432,0.34,"Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family","Acidibacter","Punica granatum (pomegranate)"
150,"Zotu250",4,293.186894550462,1584,0.00320330433008237,0.5,9,0.0604122093330177,0.375,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","uncultured Caulobacterales bacterium"
151,"Zotu2501",2,4,4,3.32962686642646e-101,0,15,0.816496580927727,0,"Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Rheinheimera",NA
152,"Zotu252",1,0,0,5.86311775378294e-06,0,10,-0.845154254728517,0,"Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae",NA,NA
153,"Zotu257",1,0,0,1.66481343321323e-101,0,17,-1.22474487139159,0,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium",NA
154,"Zotu258",1,0,0,3.58919942985274e-150,0,55,0,0,"Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter","uncultured Luteolibacter sp."
