"","com_id","Zotu","cor","p","Phylum","Class","Order","Family","Genus","Species","com_name"
"16","Com_10707_neg","Zotu23",0.862290909,0.005872991,"Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae","uncultured","uncultured Acidobacteriales bacterium","(S)-beta-Aminoisobutyric Acid"
"17","Com_1082_pos","Zotu48",0.969781517,6.74e-05,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavitalea","Flavitalea gansuensis","2-Methylbutyroylcarnitine"
"18","Com_10826_pos","Zotu23",-0.862290909,0.005872991,"Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae","uncultured","uncultured Acidobacteriales bacterium","(2E)-3-(3,4-dimethoxyphenyl)prop-2-enoic acid"
"19","Com_10858_pos","Zotu48",-0.969781517,6.74e-05,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavitalea","Flavitalea gansuensis","3-Phosphonopropionic acid"
"20","Com_10866_pos","Zotu314",-0.90840294,0.001791685,"Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae (Subgroup 3)","Candidatus Solibacter","bacterium Ellin6505","Propionyl-L-carnitine"
"21","Com_1092_neg","Zotu165",-0.857142857,0.006530017,"Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","NA","2'-Deoxyuridine"
"22","Com_1092_neg","Zotu32",-0.910195959,0.001690861,"Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","NA","2'-Deoxyuridine"
"23","Com_10921_pos","Zotu314",0.871575794,0.004798257,"Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae (Subgroup 3)","Candidatus Solibacter","bacterium Ellin6505","SKK"
"24","Com_10959_neg","Zotu68",-0.932227236,0.000739205,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","uncultured","uncultured Terrimonas sp.","MGDG (16:1/16:2)"
"25","Com_11003_pos","Zotu314",-0.969781517,6.74e-05,"Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae (Subgroup 3)","Candidatus Solibacter","bacterium Ellin6505","3-(allylsulfanyl)-4-[4-(benzyloxy)phenyl]-5-methyl-4H-1,2,4-triazole"
"26","Com_11008_pos","Zotu33",-0.857142857,0.006530017,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia","NA","acenaphtho[1,2-b]quinoxaline"
"27","Com_11008_pos","Zotu8",-0.928571429,0.000862968,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia","NA","acenaphtho[1,2-b]quinoxaline"
"28","Com_11008_pos","Zotu52",0.903680049,0.002075752,"Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101 soil group","planctomycete WWH14","NA","acenaphtho[1,2-b]quinoxaline"
"29","Com_1103_neg","Zotu114",-0.904761905,0.002008276,"Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","NA","(+/-)9(10)-EpOME"
"30","Com_11089_pos","Zotu314",-0.90840294,0.001791685,"Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae (Subgroup 3)","Candidatus Solibacter","bacterium Ellin6505","HPH"
"31","Com_1112_neg","Zotu343",0.874267171,0.004512386,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Nitrosomonadaceae","MND1","NA","4-oxo-4,5,6,7-tetrahydrobenzo[b]furan-3-carboxylic acid"
"32","Com_11129_pos","Zotu73",0.85548378,0.00675133,"Acidobacteria","Acidobacteriia","Acidobacteriales","uncultured","NA","NA","JNJ-1661010"
"33","Com_11135_neg","Zotu130",-0.878310066,0.004103934,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","NA","DGDG (2:0/16:3)"
"34","Com_11135_neg","Zotu30",0.857142857,0.006530017,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","NA","DGDG (2:0/16:3)"
"35","Com_11168_pos","Zotu314",0.871575794,0.004798257,"Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae (Subgroup 3)","Candidatus Solibacter","bacterium Ellin6505","Sodium cholate"
"36","Com_11176_neg","Zotu48",-0.932954371,0.000716066,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavitalea","Flavitalea gansuensis","PA (14:0/19:1)"
"37","Com_1119_pos","Zotu14",-0.897117993,0.002516695,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","NA","4-Phenylbutyric acid"
"38","Com_1126_pos","Zotu26",-0.843434712,0.008503234,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","NA","5,8-dihydroxy-10-methyl-5,8,9,10-tetrahydro-2H-oxecin-2-one"
"39","Com_11301_neg","Zotu100",-0.922172222,0.001110817,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","uncultured Caulobacterales bacterium","Guanosine-5'-monophosphate"
"40","Com_11301_neg","Zotu1",0.951502571,0.000274893,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","NA","Guanosine-5'-monophosphate"
"41","Com_11365_pos","Zotu10",0.850314646,0.007471415,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","NA","3-hydroxy-2-(3-nitro-4-piperidinobenzyl)propanenitrile"
"42","Com_11404_pos","Zotu48",-0.883851509,0.003583935,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavitalea","Flavitalea gansuensis","Pyridoxal"
"43","Com_11447_neg","Zotu68",-0.855605819,0.00673489,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","uncultured","uncultured Terrimonas sp.","3b,7b-Dihydroxy-5-androsten-17-one"
"44","Com_11460_pos","Zotu48",-0.847024363,0.007954271,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavitalea","Flavitalea gansuensis","LDGTS 19:2"
"45","Com_11490_pos","Zotu339",-0.891630982,0.002928681,"Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","NA","3,3-dimethyl-2-morpholino-2,3-dihydrobenzo[b]furan-5-ol"
"46","Com_1150_pos","Zotu339",-0.891630982,0.002928681,"Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","NA","Arachidonoyl ethanolamide phosphate"
"47","Com_11509_pos","Zotu24",0.880952381,0.00385032,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","NA","2-[(7-methyl-2,3-dihydro-1H-inden-4-yl)oxy]pyridin-3-amine"
"48","Com_11545_neg","Zotu23",-0.922172222,0.001110817,"Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae","uncultured","uncultured Acidobacteriales bacterium","2-Hydroxy-2-methylbutanoic acid"
"49","Com_11615_neg","Zotu48",0.945230086,0.000394052,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavitalea","Flavitalea gansuensis","N-benzyl-N-isopropyl-N'-[4-(trifluoromethoxy)phenyl]urea"
"50","Com_11615_neg","Zotu100",0.886243434,0.003373343,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","uncultured Caulobacterales bacterium","N-benzyl-N-isopropyl-N'-[4-(trifluoromethoxy)phenyl]urea"
"51","Com_11625_neg","Zotu48",-0.896127224,0.00258811,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavitalea","Flavitalea gansuensis","N-Acetyl-L-aspartic acid"
"52","Com_11698_pos","Zotu48",-0.90840294,0.001791685,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavitalea","Flavitalea gansuensis","N-(1-benzylpiperidin-4-yl)-5-methoxy-1H-indole-2-carboxamide"
"53","Com_11726_pos","Zotu48",-0.90840294,0.001791685,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavitalea","Flavitalea gansuensis","1-methyl-1H-benzimidazole-2-sulfonic acid"
"54","Com_11731_neg","Zotu48",-0.847024363,0.007954271,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavitalea","Flavitalea gansuensis","Ergothioneine"
"55","Com_11776_pos","Zotu48",0.871575794,0.004798257,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavitalea","Flavitalea gansuensis","Neopterin"
"56","Com_11777_pos","Zotu48",-0.90840294,0.001791685,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavitalea","Flavitalea gansuensis","Perospirone"
"57","Com_11788_pos","Zotu119",0.934148484,0.000679106,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","NA","1-(4-hydroxyphenyl)propane-1,2-diol"
"58","Com_11795_pos","Zotu48",-0.883851509,0.003583935,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavitalea","Flavitalea gansuensis","Cyclobutyl fentanyl-d5"
"59","Com_118_pos","Zotu13",0.934148484,0.000679106,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas sp. ZY-3","Methoxyacetyl fentanyl-d5"
"60","Com_1182_neg","Zotu36",0.843434712,0.008503234,"Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae","JGI 0001001-H03","uncultured bacterium 164","N-Acetyl-DL-alanine"
"61","Com_11843_pos","Zotu48",-0.883851509,0.003583935,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavitalea","Flavitalea gansuensis","WNK"
"62","Com_11865_neg","Zotu48",-0.969781517,6.74e-05,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavitalea","Flavitalea gansuensis","MGDG (4:0/18:2)"
"63","Com_11895_pos","Zotu73",-0.843434712,0.008503234,"Acidobacteria","Acidobacteriia","Acidobacteriales","uncultured","NA","NA","Hydroxyprogesterone caproate"
"64","Com_11962_pos","Zotu13",-0.970077272,6.55e-05,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas sp. ZY-3","trans-2-Methyl-2-pentenoic Acid"
"65","Com_11962_pos","Zotu128",-0.850314646,0.007471415,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas sp. ID0634","trans-2-Methyl-2-pentenoic Acid"
"66","Com_11985_neg","Zotu314",0.883851509,0.003583935,"Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae (Subgroup 3)","Candidatus Solibacter","bacterium Ellin6505","4-Methylhippuric acid"
"67","Com_12000_neg","Zotu32",-0.874267171,0.004512386,"Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","NA","Thymidine 3,5-cyclic monophosphate"
"68","Com_12005_neg","Zotu51",0.880952381,0.00385032,"Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","NA","MGDG (14:1/20:5)"
"69","Com_1201_pos","Zotu187",0.902707567,0.002137647,"Cyanobacteria","Oxyphotobacteria","Nostocales","Coleofasciculaceae","Microcoleus Es-Yyy1400","Microcoleus paludosus Es_Yyy1400","N2-neopentyl-5-methyl-1,3,4-thiadiazol-2-amine"
"70","Com_1201_pos","Zotu169",0.969781517,6.74e-05,"Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Amycolatopsis","NA","N2-neopentyl-5-methyl-1,3,4-thiadiazol-2-amine"
"71","Com_1201_pos","Zotu10",0.838338383,0.009323116,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","NA","N2-neopentyl-5-methyl-1,3,4-thiadiazol-2-amine"
"72","Com_12075_pos","Zotu32",-0.874267171,0.004512386,"Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","NA","3,4-dihydro-2H,6H-[1,3]thiazino[2,3-b]quinazolin-6-one"
"73","Com_12075_pos","Zotu51",-0.880952381,0.00385032,"Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","NA","3,4-dihydro-2H,6H-[1,3]thiazino[2,3-b]quinazolin-6-one"
"74","Com_12075_pos","Zotu165",-0.928571429,0.000862968,"Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","NA","3,4-dihydro-2H,6H-[1,3]thiazino[2,3-b]quinazolin-6-one"
"75","Com_12141_pos","Zotu314",-0.90840294,0.001791685,"Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae (Subgroup 3)","Candidatus Solibacter","bacterium Ellin6505","Atropine"
"76","Com_12167_pos","Zotu125",0.928571429,0.000862968,"Cyanobacteria","Oxyphotobacteria","Nostocales","NA","NA","NA","WLH"
"77","Com_12195_pos","Zotu314",-0.896127224,0.00258811,"Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae (Subgroup 3)","Candidatus Solibacter","bacterium Ellin6505","TKK"
"78","Com_12377_pos","Zotu31",0.850314646,0.007471415,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas","NA","LPE 17:0"
"79","Com_12495_pos","Zotu14",-0.836501913,0.009630399,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","NA","Xanthopterin"
"80","Com_12500_pos","Zotu48",-0.871575794,0.004798257,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavitalea","Flavitalea gansuensis","4-Ethylbenzaldehyde"
"81","Com_1254_neg","Zotu130",0.853912564,0.006965288,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","NA","2,3-Dinor-8-epi-prostaglandin F2??"
"82","Com_1254_neg","Zotu192",-0.880952381,0.00385032,"Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","NA","2,3-Dinor-8-epi-prostaglandin F2??"
"83","Com_12573_neg","Zotu343",0.862290909,0.005872991,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Nitrosomonadaceae","MND1","NA","2,2-Dimethylsuccinic acid"
"84","Com_12573_neg","Zotu48",-0.834748647,0.009929687,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavitalea","Flavitalea gansuensis","2,2-Dimethylsuccinic acid"
"85","Com_12623_neg","Zotu48",-0.834748647,0.009929687,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavitalea","Flavitalea gansuensis","dADP"
"86","Com_12636_pos","Zotu1",-0.902707567,0.002137647,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","NA","PC (14:0e/3:0)"
"87","Com_12636_pos","Zotu100",0.898219696,0.002438797,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","uncultured Caulobacterales bacterium","PC (14:0e/3:0)"
"88","Com_12840_neg","Zotu48",-0.896127224,0.00258811,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavitalea","Flavitalea gansuensis","1-Caffeoylquinic Acid"
"89","Com_12859_pos","Zotu314",-0.945230086,0.000394052,"Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae (Subgroup 3)","Candidatus Solibacter","bacterium Ellin6505","Choline bitartrate"
"90","Com_12881_pos","Zotu23",-0.946124747,0.000375312,"Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae","uncultured","uncultured Acidobacteriales bacterium","Glycerol 3-phosphate"
"91","Com_12881_pos","Zotu32",-0.850314646,0.007471415,"Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","NA","Glycerol 3-phosphate"
"92","Com_1290_neg","Zotu45",-0.904761905,0.002008276,"Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","NA","NA","Glucosamine 6-sulfate"
"93","Com_1290_neg","Zotu167",0.867532847,0.005249136,"Acidobacteria","Acidobacteriia","Acidobacteriales","uncultured","bacterium Ellin7529","NA","Glucosamine 6-sulfate"
"94","Com_1290_neg","Zotu219",-0.857142857,0.006530017,"Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","NA","NA","Glucosamine 6-sulfate"
"95","Com_1290_neg","Zotu8",-0.857142857,0.006530017,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia","NA","Glucosamine 6-sulfate"
"96","Com_1290_neg","Zotu14",0.836501913,0.009630399,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","NA","Glucosamine 6-sulfate"
"97","Com_12910_neg","Zotu12",0.880952381,0.00385032,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ensifer","NA","1-Methylguanosine"
"98","Com_12928_pos","Zotu165",-0.928571429,0.000862968,"Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","NA","12,13-EODE"
"99","Com_1293_neg","Zotu48",-0.883851509,0.003583935,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavitalea","Flavitalea gansuensis","Nigericin"
"100","Com_12962_neg","Zotu2",0.886243434,0.003373343,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","NA","Acetyl-N-formyl-5-methoxykynurenamine"
"101","Com_12962_neg","Zotu12",0.904761905,0.002008276,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ensifer","NA","Acetyl-N-formyl-5-methoxykynurenamine"
"102","Com_13199_pos","Zotu100",0.850314646,0.007471415,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","uncultured Caulobacterales bacterium","PEtOH (16:0-22:3)"
"103","Com_13199_pos","Zotu48",0.945230086,0.000394052,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavitalea","Flavitalea gansuensis","PEtOH (16:0-22:3)"
"104","Com_13446_pos","Zotu24",0.904761905,0.002008276,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","NA","4-ethoxy-N-[(4-methoxyphenyl)methylene]aniline"
"105","Com_1350_neg","Zotu48",0.834748647,0.009929687,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavitalea","Flavitalea gansuensis","MGDG (18:3/18:5)"
"106","Com_13517_pos","Zotu14",0.933487642,0.000699402,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","NA","Leukotriene D4"
"107","Com_1355_pos","Zotu314",-0.90840294,0.001791685,"Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae (Subgroup 3)","Candidatus Solibacter","bacterium Ellin6505","2-(2-hydroxy-3-methylbutanamido)-4-methylpentanoic acid"
"108","Com_13550_pos","Zotu13",-0.922172222,0.001110817,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas sp. ZY-3","N~5~-(1,3,5-trimethyl-1H-pyrazol-4-yl)-1H-1,2,4-triazole-3,5-diamine"
"109","Com_13599_neg","Zotu44",0.857142857,0.006530017,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium","NA","MGDG (2:0/16:4)"
"110","Com_13599_neg","Zotu57",0.880952381,0.00385032,"Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","NA","NA","MGDG (2:0/16:4)"
"111","Com_13711_pos","Zotu48",-0.847024363,0.007954271,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavitalea","Flavitalea gansuensis","Lysopa 18:0"
"112","Com_13727_neg","Zotu48",-0.90840294,0.001791685,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavitalea","Flavitalea gansuensis","Rifapentine"
"113","Com_1380_pos","Zotu9",-0.951876318,0.000268663,"Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium","NA","Artesunate"
"114","Com_13809_pos","Zotu68",0.906686764,0.001891774,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","uncultured","uncultured Terrimonas sp.","Scopolamine"
"115","Com_13813_pos","Zotu32",-0.838338383,0.009323116,"Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","NA","Val-Ser"
"116","Com_13879_pos","Zotu48",-0.932954371,0.000716066,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavitalea","Flavitalea gansuensis","3-(5-phenyl-1,3-oxazol-2-yl)-4-(trifluoromethyl)pyridine"
"117","Com_13899_pos","Zotu48",0.871575794,0.004798257,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavitalea","Flavitalea gansuensis","5-oxo-3-phenyl-5-(2-quinolinylamino)pentanoic acid"
"118","Com_1390_pos","Zotu59",0.952380952,0.0002604,"Proteobacteria","Alphaproteobacteria","Micropepsales","Micropepsaceae","uncultured","NA","Methyl dihydrojasmonate"
"119","Com_1393_pos","Zotu100",0.874267171,0.004512386,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","uncultured Caulobacterales bacterium","6 ??-Hydroxycortisol"
"120","Com_1393_pos","Zotu59",0.857142857,0.006530017,"Proteobacteria","Alphaproteobacteria","Micropepsales","Micropepsaceae","uncultured","NA","6 ??-Hydroxycortisol"
"121","Com_1400_neg","Zotu32",-0.886243434,0.003373343,"Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","NA","20-Hydroxy-(5Z,8Z,11Z,14Z)-eicosatetraenoic acid"
"122","Com_1400_neg","Zotu165",-0.857142857,0.006530017,"Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","NA","20-Hydroxy-(5Z,8Z,11Z,14Z)-eicosatetraenoic acid"
"123","Com_1400_neg","Zotu51",-0.952380952,0.0002604,"Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","NA","20-Hydroxy-(5Z,8Z,11Z,14Z)-eicosatetraenoic acid"
"124","Com_14011_neg","Zotu32",-0.946124747,0.000375312,"Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","NA","Lauric acid ethyl ester"
"125","Com_14017_neg","Zotu48",-0.871575794,0.004798257,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavitalea","Flavitalea gansuensis","SM (d14:1/13:0)"
"126","Com_1404_pos","Zotu51",-0.880952381,0.00385032,"Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","NA","16??-Hydroxyestrone"
"127","Com_14086_pos","Zotu23",-0.886243434,0.003373343,"Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae","uncultured","uncultured Acidobacteriales bacterium","6??-Naltrexol"
"128","Com_14086_pos","Zotu48",-0.871575794,0.004798257,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavitalea","Flavitalea gansuensis","6??-Naltrexol"
"129","Com_1414_pos","Zotu57",-0.904761905,0.002008276,"Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","NA","NA","N-Acetyl-aspartic acid"
"130","Com_1414_pos","Zotu44",-0.880952381,0.00385032,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium","NA","N-Acetyl-aspartic acid"
"131","Com_1415_pos","Zotu33",-0.880952381,0.00385032,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia","NA","Methionine sulfoxide"
"132","Com_14151_pos","Zotu314",0.883851509,0.003583935,"Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae (Subgroup 3)","Candidatus Solibacter","bacterium Ellin6505","Cortisone"
"133","Com_14181_neg","Zotu26",0.843434712,0.008503234,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","NA","Lauric Acid"
"134","Com_14181_neg","Zotu128",-0.850314646,0.007471415,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas sp. ID0634","Lauric Acid"
